flag=O3, threads=24, matrix dimension=1024, average time=3.10884, standard deviation of time=1.01069, number of runs=10
flag=Ofast, threads=24, matrix dimension=1024, average time=3.34278, standard deviation of time=0.663655, number of runs=10
flag=O2, threads=24, matrix dimension=1024, average time=4.38197, standard deviation of time=1.00141, number of runs=10
flag=Ofast, threads=12, matrix dimension=1024, average time=6.60141, standard deviation of time=1.30785, number of runs=10
flag=O2, threads=12, matrix dimension=1024, average time=8.15763, standard deviation of time=1.73546, number of runs=10
flag=Ofast, threads=8, matrix dimension=1024, average time=9.26188, standard deviation of time=1.75343, number of runs=10
flag=O3, threads=12, matrix dimension=1024, average time=8.69684, standard deviation of time=0.885926, number of runs=10
flag=O2, threads=8, matrix dimension=1024, average time=10.0051, standard deviation of time=1.01689, number of runs=10
flag=O1, threads=24, matrix dimension=1024, average time=10.8201, standard deviation of time=1.40423, number of runs=10
flag=Og, threads=24, matrix dimension=1024, average time=11.033, standard deviation of time=2.25479, number of runs=10
flag=O3, threads=8, matrix dimension=1024, average time=11.8162, standard deviation of time=1.76584, number of runs=10
flag=Ofast, threads=4, matrix dimension=1024, average time=17.717, standard deviation of time=2.34849, number of runs=10
flag=g, threads=24, matrix dimension=1024, average time=17.8379, standard deviation of time=3.50676, number of runs=10
flag=O1, threads=12, matrix dimension=1024, average time=20.1175, standard deviation of time=2.11703, number of runs=10
flag=O2, threads=4, matrix dimension=1024, average time=21.2529, standard deviation of time=2.50662, number of runs=10
flag=Og, threads=12, matrix dimension=1024, average time=22.0256, standard deviation of time=3.78786, number of runs=10
flag=O3, threads=4, matrix dimension=1024, average time=23.3739, standard deviation of time=1.81122, number of runs=10
flag=Og, threads=8, matrix dimension=1024, average time=25.6741, standard deviation of time=12.4564, number of runs=10
flag=O1, threads=8, matrix dimension=1024, average time=29.9754, standard deviation of time=3.63915, number of runs=10
flag=Ofast, threads=2, matrix dimension=1024, average time=30.1382, standard deviation of time=7.69714, number of runs=10
flag=g, threads=12, matrix dimension=1024, average time=34.9411, standard deviation of time=8.0015, number of runs=10
flag=O2, threads=2, matrix dimension=1024, average time=36.8612, standard deviation of time=5.45006, number of runs=10
flag=O3, threads=2, matrix dimension=1024, average time=39.0491, standard deviation of time=6.1571, number of runs=10
flag=O3, threads=24, matrix dimension=2048, average time=40.4904, standard deviation of time=3.33504, number of runs=10
flag=Ofast, threads=24, matrix dimension=2048, average time=40.8311, standard deviation of time=5.88368, number of runs=10
flag=Og, threads=4, matrix dimension=1024, average time=49.9052, standard deviation of time=16.2856, number of runs=10
flag=g, threads=8, matrix dimension=1024, average time=52.4588, standard deviation of time=5.93538, number of runs=10
flag=O2, threads=24, matrix dimension=2048, average time=54.6696, standard deviation of time=3.35014, number of runs=10
flag=O1, threads=4, matrix dimension=1024, average time=59.0116, standard deviation of time=6.77765, number of runs=10
flag=Ofast, threads=12, matrix dimension=2048, average time=66.9273, standard deviation of time=6.27497, number of runs=10
flag=O1, threads=24, matrix dimension=2048, average time=87.3325, standard deviation of time=6.77618, number of runs=10
flag=g, threads=4, matrix dimension=1024, average time=89.9266, standard deviation of time=12.8824, number of runs=10
flag=Ofast, threads=8, matrix dimension=2048, average time=90.4298, standard deviation of time=19.2616, number of runs=10
flag=O3, threads=12, matrix dimension=2048, average time=92.4808, standard deviation of time=7.99736, number of runs=10
flag=O1, threads=2, matrix dimension=1024, average time=94.3879, standard deviation of time=17.7048, number of runs=10
flag=O2, threads=12, matrix dimension=2048, average time=93.9124, standard deviation of time=13.0469, number of runs=10
flag=Og, threads=24, matrix dimension=2048, average time=93.9821, standard deviation of time=10.4372, number of runs=10
flag=Og, threads=2, matrix dimension=1024, average time=98.0094, standard deviation of time=10.4541, number of runs=10
flag=O2, threads=8, matrix dimension=2048, average time=119.999, standard deviation of time=16.0981, number of runs=10
flag=O3, threads=8, matrix dimension=2048, average time=127.114, standard deviation of time=14.6261, number of runs=10
flag=g, threads=24, matrix dimension=2048, average time=133.79, standard deviation of time=16.8214, number of runs=10
flag=Ofast, threads=4, matrix dimension=2048, average time=135.24, standard deviation of time=29.4089, number of runs=10
flag=Og, threads=12, matrix dimension=2048, average time=139.216, standard deviation of time=15.5521, number of runs=10
flag=O1, threads=12, matrix dimension=2048, average time=143.616, standard deviation of time=16.1371, number of runs=10
flag=g, threads=2, matrix dimension=1024, average time=157.262, standard deviation of time=17.9691, number of runs=10
flag=O1, threads=8, matrix dimension=2048, average time=193.754, standard deviation of time=27.5057, number of runs=10
flag=Og, threads=8, matrix dimension=2048, average time=203.524, standard deviation of time=27.2473, number of runs=10
flag=O2, threads=4, matrix dimension=2048, average time=205.447, standard deviation of time=30.9281, number of runs=10
flag=Ofast, threads=24, matrix dimension=4096, average time=209.039, standard deviation of time=29.6678, number of runs=10
flag=O3, threads=24, matrix dimension=4096, average time=213.757, standard deviation of time=28.2453, number of runs=10
flag=Ofast, threads=2, matrix dimension=2048, average time=219.179, standard deviation of time=40.2235, number of runs=10
flag=O3, threads=4, matrix dimension=2048, average time=222.08, standard deviation of time=46.1196, number of runs=10
flag=g, threads=12, matrix dimension=2048, average time=225.258, standard deviation of time=27.2209, number of runs=10
flag=g, threads=8, matrix dimension=2048, average time=300.74, standard deviation of time=52.6182, number of runs=10
flag=Ofast, threads=12, matrix dimension=4096, average time=305.892, standard deviation of time=108.658, number of runs=10
flag=O2, threads=24, matrix dimension=4096, average time=322.445, standard deviation of time=50.7728, number of runs=10
flag=O2, threads=2, matrix dimension=2048, average time=339.44, standard deviation of time=70.4563, number of runs=10
flag=O1, threads=4, matrix dimension=2048, average time=339.664, standard deviation of time=41.3086, number of runs=10
flag=Og, threads=4, matrix dimension=2048, average time=350.377, standard deviation of time=54.8787, number of runs=10
flag=O3, threads=2, matrix dimension=2048, average time=364.211, standard deviation of time=59.4794, number of runs=10
flag=Ofast, threads=24, matrix dimension=8192, average time=377.099, standard deviation of time=9.81333, number of runs=10
flag=Ofast, threads=8, matrix dimension=4096, average time=384.011, standard deviation of time=155.244, number of runs=10
flag=O1, threads=24, matrix dimension=4096, average time=463.819, standard deviation of time=67.0198, number of runs=10
flag=Og, threads=24, matrix dimension=4096, average time=491.112, standard deviation of time=100.067, number of runs=10
flag=O3, threads=12, matrix dimension=4096, average time=527.667, standard deviation of time=127.588, number of runs=10
flag=g, threads=4, matrix dimension=2048, average time=540.952, standard deviation of time=92.9146, number of runs=10
flag=O2, threads=12, matrix dimension=4096, average time=539.431, standard deviation of time=131.017, number of runs=10
flag=O1, threads=2, matrix dimension=2048, average time=562.162, standard deviation of time=110.971, number of runs=10
flag=Og, threads=2, matrix dimension=2048, average time=576.67, standard deviation of time=97.5541, number of runs=10
flag=Ofast, threads=4, matrix dimension=4096, average time=595.208, standard deviation of time=237.63, number of runs=10
flag=O3, threads=8, matrix dimension=4096, average time=680.615, standard deviation of time=175.636, number of runs=10
flag=O2, threads=8, matrix dimension=4096, average time=723.401, standard deviation of time=134.579, number of runs=10
flag=g, threads=24, matrix dimension=4096, average time=734.466, standard deviation of time=118.434, number of runs=10
flag=Og, threads=12, matrix dimension=4096, average time=778.607, standard deviation of time=247.123, number of runs=10
flag=O1, threads=12, matrix dimension=4096, average time=787.348, standard deviation of time=166.646, number of runs=10
flag=g, threads=2, matrix dimension=2048, average time=869.852, standard deviation of time=275.561, number of runs=10
flag=Og, threads=8, matrix dimension=4096, average time=1032.66, standard deviation of time=339.717, number of runs=10
flag=O1, threads=8, matrix dimension=4096, average time=1059, standard deviation of time=247.343, number of runs=10
