flag=-g, threads=2, matrix dimension=1024, average time=4.73578, standard deviation of time=0.0829968, number of runs=10
flag=-g, threads=2, matrix dimension=2048, average time=52.0124, standard deviation of time=0.589243, number of runs=10
flag=-g, threads=2, matrix dimension=4096, average time=478.279, standard deviation of time=7.48255, number of runs=10
flag=-g, threads=4, matrix dimension=1024, average time=2.8487, standard deviation of time=0.0145799, number of runs=10
flag=-g, threads=4, matrix dimension=2048, average time=29.6578, standard deviation of time=0.0243581, number of runs=10
flag=-g, threads=4, matrix dimension=4096, average time=272.613, standard deviation of time=2.29347, number of runs=10
flag=-Og, threads=2, matrix dimension=1024, average time=2.23235, standard deviation of time=0.0265916, number of runs=10
flag=-Og, threads=2, matrix dimension=2048, average time=22.4031, standard deviation of time=0.353714, number of runs=10
flag=-Og, threads=2, matrix dimension=4096, average time=263.978, standard deviation of time=5.50245, number of runs=10
flag=-Og, threads=4, matrix dimension=1024, average time=1.24667, standard deviation of time=0.00833358, number of runs=10
flag=-Og, threads=4, matrix dimension=2048, average time=12.1041, standard deviation of time=0.0360159, number of runs=10
flag=-Og, threads=4, matrix dimension=4096, average time=138.355, standard deviation of time=0.644464, number of runs=10
flag=-O1, threads=2, matrix dimension=1024, average time=2.21008, standard deviation of time=0.0110624, number of runs=10
flag=-O1, threads=2, matrix dimension=2048, average time=21.8447, standard deviation of time=0.114342, number of runs=10
flag=-O1, threads=2, matrix dimension=4096, average time=252.603, standard deviation of time=1.99163, number of runs=10
flag=-O1, threads=4, matrix dimension=1024, average time=1.7585, standard deviation of time=0.358635, number of runs=10
flag=-O1, threads=4, matrix dimension=2048, average time=23.5005, standard deviation of time=5.54114, number of runs=10
flag=-O1, threads=4, matrix dimension=4096, average time=203.215, standard deviation of time=73.0224, number of runs=10
flag=-O2, threads=2, matrix dimension=1024, average time=1.3902, standard deviation of time=0.0470807, number of runs=10
flag=-O2, threads=2, matrix dimension=2048, average time=16.0219, standard deviation of time=0.646027, number of runs=10
flag=-O2, threads=2, matrix dimension=4096, average time=254.262, standard deviation of time=24.1134, number of runs=10
flag=-O2, threads=4, matrix dimension=1024, average time=0.742106, standard deviation of time=0.0146602, number of runs=10
flag=-O2, threads=4, matrix dimension=2048, average time=9.16874, standard deviation of time=0.428403, number of runs=10
flag=-O2, threads=4, matrix dimension=4096, average time=137.227, standard deviation of time=2.33755, number of runs=10
flag=-O3, threads=2, matrix dimension=1024, average time=1.34344, standard deviation of time=0.0227825, number of runs=10
flag=-O3, threads=2, matrix dimension=2048, average time=17.0354, standard deviation of time=1.96016, number of runs=10
flag=-O3, threads=2, matrix dimension=4096, average time=233.086, standard deviation of time=5.80467, number of runs=10
flag=-O3, threads=4, matrix dimension=1024, average time=0.706988, standard deviation of time=0.0146517, number of runs=10
flag=-O3, threads=4, matrix dimension=2048, average time=8.83488, standard deviation of time=0.155236, number of runs=10
flag=-O3, threads=4, matrix dimension=4096, average time=136.926, standard deviation of time=4.91681, number of runs=10
flag=-Ofast, threads=2, matrix dimension=1024, average time=1.32778, standard deviation of time=0.0205411, number of runs=10
flag=-Ofast, threads=2, matrix dimension=2048, average time=15.5615, standard deviation of time=0.148121, number of runs=10
flag=-Ofast, threads=2, matrix dimension=4096, average time=230.48, standard deviation of time=1.73568, number of runs=10
flag=-Ofast, threads=4, matrix dimension=1024, average time=0.673078, standard deviation of time=0.00780349, number of runs=10
flag=-Ofast, threads=4, matrix dimension=2048, average time=8.32815, standard deviation of time=0.166298, number of runs=10
flag=-Ofast, threads=4, matrix dimension=4096, average time=129.475, standard deviation of time=0.907551, number of runs=10
